user_id,event_type,event_id,ts
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-ea0b7fcabc2f56edb4e6f70c26c1836d,2023-12-22 14:29:39.741000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-4064113f97207a8f169e649222a0b7f2,2023-12-22 14:29:34.857000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-1285ed5a0d912d5881e0e9339bb7f0b1,2023-12-22 14:29:32.743000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-8bc814babc03b0bb76f3c99cd22e83c4,2023-12-22 14:29:23.236000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-74ae2d6a22b17e37bcb371ce972988b6,2023-12-22 14:29:16.795000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-b0bdcccdb2cb60371ad82b837bc986dd,2023-12-22 14:29:14.921000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-aca9fbdc4608cb75927c11704ece1447,2023-12-22 14:29:03.687000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-f0a9a72a9305727baeea88c6cf57fd3e,2023-12-22 14:29:04.276000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-349fdc508b2e645f21668c5c0154aa00,2023-12-22 14:09:50.347000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-72f3a7e9ff136016655d6376009a2289,2023-12-22 14:09:31.917000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-ff26bb5fc20c89f12f41abf1c7b6bf61,2023-12-22 14:09:27.029000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-5e83a609b0036eef850d510d27c4a93e,2023-12-22 14:08:44.411000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-8849c6877da45a82376296042a65485e,2023-12-22 14:08:41.819000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-c3e628d382a7acef4c4f30754a103836,2023-12-22 14:08:38.267000
