timestamp,id,funnel_id,total_price,without_discount_price,variant_item_1,variant_item_2,variant_item_3,variant_item_4,variant_item_5
2024-04-05 16:18:27.038000,ajs-next-7e7c0349ad5462e9c3e3328825a9e36e,69,23.99,null,SP-SL-XLXXL-BLK,,,,
2024-04-08 22:37:17.307000,ajs-next-392cf9d7428edd601865527d6220873c,66,25.98,null,SMNT-WB-22428-LTGRAY,EMP-HWBS-18437-XL-BLK,EMP-HWBS-18437-XL-NUD,,
2024-04-11 15:57:57.234000,ajs-next-1c3bc2222a5d8609eed7e05e70ca1b68,613,47.98,null,SP-SL-XLXXL-BLK,SHE-SNC-62001-XL-BLK,,,
2024-04-11 15:41:41.866000,ajs-next-fbd7fb9d4cc4e398fe78449ad93d5159,66,41.98,null,SHE-OBS-73005-2XL-BLK,SHE-OBS-73005-2XL-BGE,,,
2024-03-26 17:41:25.834000,ajs-next-719b2a640f54031d6f6d655a0e991eff,68,25.99,null,SHE-HWS-55021-S-BGE,,,,
2024-04-10 15:37:28.584000,ajs-next-998a695e77ec62a8e2695a4a59e3c3fb,494,83.11,null,TRU-SPB-10022-S-BLK,SHE-SNC-62001-M-NUD,,,
2024-03-16 16:25:51.274000,ajs-next-791a75c4e863d67e644b04b0a13a15fd,402,28.99,null,TRU-SPB-10022-M-BGE,,,,
2024-01-20 16:54:32.208000,ajs-next-3de4eb8289624cc2af20aa6d857e378e,303,32.99,null,TRU-LAB3-10210-2XL-WHT,,,,
2024-04-04 19:14:57.080000,ajs-next-de65e4fdb3318a36e1a6c655d7f89ea9,66,75.09,null,TRU-SPB-10022-S-BLK,TRU-CSB-10400-S-BLK,,,
2024-04-11 17:35:04.310000,ajs-next-8577b98fc8eba0fd416e5552053f5cfa,66,28.99,null,TRU-CSB-10400-3XL-BLK,,,,
2024-03-10 05:42:12.737000,ajs-next-b1797e42b1bdc7c16bd57d71da61d206,108,74.97,null,EMP-SSB-81068-L-BGDY,EMP-SSB-81068-L-BLK,EMP-BBT-81007-XL-BLK,,
2024-01-04 08:47:31.144000,ajs-next-17b39bb9866d64bd4f96395398333fc2,63,32.92,null,SHE-SNC-62001-S-BLK,,,,
2024-03-07 11:50:10.560000,ajs-next-a76bcd3248fb28d9831a941aaf18b22d,493,55.8,null,TRU-SPB-10022-S-RST,,,,
2024-04-01 19:13:37.738000,ajs-next-6fbffd2d10b0eb5f67ea43c2c5912045,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-04-11 15:01:27.978000,ajs-next-7c883bd9fd627c25e2c0da4e70f86351,71,67.5,null,TRU-SPB-10022-XL-BGE,,,,
2024-03-18 16:21:49.306000,ajs-next-1a8a818be4fc6a5fd62626682f626e5e,108,27.99,null,SHE-HWBS-18437-S-BGE,EMP-SSB-81068-S-BLK,,,
2024-03-04 15:23:18.597000,ajs-next-4dea61e16fefd3a35c01cd183271976a,493,55.8,null,TRU-SPB-10022-S-RST,,,,
2024-01-14 21:00:01.523000,ajs-next-e71d6f9573984615ad4e4bbc9c55b1e8,63,33,null,SHE-SNC-62001-S-BLK,,,,
2024-01-21 15:02:38.494000,ajs-next-c692f4a350bc755830ffb136c14a4174,303,32.99,null,TRU-LAB3-10210-XL-BGE,,,,
2024-04-04 15:05:34.085000,ajs-next-438cbe6233783cb40189c57305810a0f,66,41.98,null,SHE-OBB-73003-XL-BGE,,,,
2024-04-02 15:32:39.254000,ajs-next-31d0de056054e2a7a7061d6970e231e2,71,73.99,null,TRU-SPB-10022-S-BLK,TRU-CSB-10400-S-BLK,,,
2024-02-02 22:57:52.474000,ajs-next-afdc3c5d506707215159f90b0236d229,63,33,null,SHE-SNC-62001-S-BLK,,,,
2024-04-11 11:28:32.845000,ajs-next-2b2f3147ceb54a23b56bede1b8ec4c05,80,14.99,null,SHE-HWS-55021-ML-SND,,,,
2024-04-11 11:28:32.845000,ajs-next-2b2f3147ceb54a23b56bede1b8ec4c05,80,14.99,null,SHE-HWS-55021-ML-SND,,,,
2024-03-25 19:55:16.885000,ajs-next-0c5cd8174a69adae34ca97611971a64f,68,25.99,null,SHE-HWS-55021-S-BGE,,,,
2024-01-25 13:34:57.384000,ajs-next-d12db03577d984e2259a14246720e53d,63,36.18,null,SHE-SNC-62001-S-BLK,,,,
2024-02-17 03:17:13.608000,ajs-next-2da4c93718c605df18b1f430453e88ab,71,54.989999999999995,null,SMNT-FS-22423-S-OCN,TRU-SPB-10022-S-BLK,TRU-SPB-10022-M-BLK,,
2024-03-07 18:17:42.580000,ajs-next-770eb2558c80b4a035322c0fa58f57d7,66,58.98,null,SMNT-WB-22428-LTGRAY,TRU-CSB-10400-3XL-BGE,SHE-SNB-95001-3XL-RED,,
2024-04-08 19:34:07.114000,ajs-next-f5daab98249db0f426395e9d7cfe84e3,98,59.57,null,SHE-SP-54008-XSS-CHT,TRU-CSB-10400-S-BLK,SHE-EMS-52002-S-BLK,,
2024-01-21 19:29:32.705000,ajs-next-abb28c7ff3c429d8f6c5e13b57a74694,63,33,null,SHE-SNC-62001-S-BLK,,,,
2024-01-21 19:30:24.933000,ajs-next-95d6fe1c420ab2c35925a7e2f52712c5,63,33.12,null,SHE-SNC-62001-S-BLK,,,,
2024-04-10 12:51:42.040000,ajs-next-ae412e56734bcd79ee399f9cfcb07ba7,63,81.97,null,TRU-SPB-10022-S-BLK,SHE-SNC-62001-M-NUD,,,
2024-03-20 20:28:09.353000,ajs-next-245577075ffc4099ec3a6aeb70e40bd2,66,63.96,null,TRU-SB-91404-4XL-BLK,TRU-RSB-97097-4XL-BLK/WHT,EMP-HWC-42024-3XL-BLK,,
2024-02-02 13:35:34.586000,ajs-next-ae8575031689d52a799b910ce81fe151,,31.98,80,EMP-SNC2-62001-L-NUD-40389411602566,EMP-SNC-62001-L-BLK-40389411340422,,,
2024-03-25 07:32:03.659000,ajs-next-b70be4bd9550ac4650891e164dc7cef8,71,26.99,null,TRU-SPB-10022-2XL-BGE,,,,
2024-03-15 08:28:04.868000,ajs-next-bd2baecea20766553e4d251f202d13b6,63,154.9,null,TRU-LAB-10210-3XL-BLK,SHE-SNC-62001-XXL-DPNK,SHE-SNC-62001-XXL-BLK,SHE-SNC-62001-XXL-MBR,SHE-SNC-62001-XXL-ATB
2024-01-19 02:41:37.333000,ajs-next-423c2f73fb7c7cde9f854a061582023f,63,33.16,null,SHE-SNC-62001-S-BLK,,,,
2024-03-06 05:54:50.437000,ajs-next-11826adee0f9afc43b068bdb5e59bbbc,121,32.99,null,SHE-HWBS-18437-S-BGE,TRU-LAB-10210-M-BLK,,,
2024-01-19 19:21:05.896000,ajs-next-99a66c0af2468954ec31ebcbc16a55e8,63,33,null,SHE-SNC-62001-S-BLK,,,,
2024-03-07 01:31:21.135000,ajs-next-a1e7ab315a351763cc65dd62cbdd52b4,66,44.98,null,TRU-SB-91404-XL-NUD,TRU-WSB-10024-XL-SEA,,,
2024-04-07 01:04:36.728000,ajs-next-21346a7b02623f7e30aa18cd839109e9,66,49.29,null,TRU-WSB-10024-XL-WHT-2PK,TRU-SPB-10022-XL-CHT,,,
2024-01-27 16:09:05.477000,ajs-next-f27848bd280f622d4e1dd8fa3c5e276f,303,32.99,null,TRU-LAB3-10210-XL-BGE,,,,
2024-04-01 15:47:44.775000,ajs-next-d45e74f6558f57d3e54b0ecce7c1316b,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-01-25 16:05:14.475000,ajs-next-c6b05932700303d669ce5b3ee548b6f6,63,36,null,SHE-SNC-62001-S-BLK,,,,
2024-01-26 14:28:12.020000,ajs-next-11fd776e3c2a3d8c211d2a0c433f7c4a,63,36.42,null,SHE-SNC-62001-S-BLK,,,,
2024-02-01 00:41:38.752000,ajs-next-1546997e5438ecb0c4557c3370b26ba5,80,28.99,null,TRU-CSB-10400-XL-BLK,,,,
2024-01-21 19:57:20.495000,ajs-next-dcdd4776a47e0ff4a7afbe5c8ca95eaf,70,48.980000000000004,null,TRU-LAB3-10210-XL-BGE,EMP-HWC-42024-XL-BLK,,,
2024-04-11 13:02:46.738000,ajs-next-e83afa2e4c064a14670136345ce88c12,60,23.99,null,SHE-HWS-55021-XLXXL-BLK,,,,
2024-04-01 18:45:37.220000,ajs-next-956545884271af5acd55ecf0c5f9717e,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-02-21 21:25:09.739000,ajs-next-729bd4c3dd5615555d6cc541c47bb533,303,61.980000000000004,null,TRU-LAB3-10210-XL-BLK,TRU-CSB-10400-XL-BGE,,,
2024-03-25 07:34:10.789000,ajs-next-7c02dfdf863bfec52c45665a7d4d2487,71,26.99,null,TRU-SPB-10022-2XL-BGE,,,,
2024-03-12 16:53:09.808000,ajs-next-3e9db7e9ac22926a154e96ef822a2fa2,71,54.99,null,TRU-SPB-10022-S-BLK,,,,
2024-02-13 13:24:43.008000,ajs-next-7c21f98545f89c229c6f2bec9cea3204,71,45.66,null,TRU-SPB-10022-S-BLK,,,,
2024-04-01 15:43:12.110000,ajs-next-2d65c61a10bd844c1bfd3e5b7f488ce5,493,45.66,null,TRU-SPB-10022-S-BLK,,,,
2024-02-24 06:57:36.732000,ajs-next-878885a47f82b759aba7db336c2b882d,63,43.98,null,SHE-SNC-62001-XXXL-BLK,SHE-SNC-62001-XXXL-ATB,,,
2024-01-27 15:55:19.908000,ajs-next-5b076b815ef6c20cc67563f66a472df9,121,32.99,null,SP-SL-XLXXL-NUD,TRU-LAB3-10210-XL-BLK,,,
2024-02-24 02:58:00.617000,ajs-next-9964da52e160a30bd144ab3565a8305a,,139.96,196.01,TRU-LAB3-10210-L-WHT-40599061561478,SHE-SNC-62001-L-LVD-40491043750022,SHE-SSST-48001-L-CHAI-40537673662598,SHE-SNC-62001-L-RST-40178086051974,SHE-SNC-62001-L-BLK-39574545072262
2024-04-04 16:50:06.260000,ajs-next-76d1b68f8c9ad53d9333820e5c6f47e0,63,93.96,null,SHE-SNC-62001-L-RST,SHE-SNC-62001-L-MBR,SHE-SNC-62001-L-ATB,EMP-WTS-87045-2XL-BLK,
2024-04-11 10:40:57.412000,ajs-next-53e92816e373d7fef37afb75c51bd4b5,303,32.99,null,TRU-LAB-10210-S-RST,,,,
